2019年09月27日 13:51,颜色分类:粉红色尺码:35,鞋子很舒服，一直在他家买鞋，质量好
2019年09月27日 12:11,颜色分类:黑色尺码:40,老顾客了一如既往地好，放心入吧
2019年09月30日 14:21,颜色分类:粉红色尺码:37,很不错～
2019年09月22日 19:06,颜色分类:黑色尺码:37,很喜欢他家的鞋子，样式都好看，穿着舒服，价格实惠，非常好，一直买
2019年09月23日 10:47,颜色分类:黑色尺码:40,买了能有几十双鞋，真的是双双爱双双美，双双舒服，这款软的很，太舒服了，准备去健身房用
2019年09月28日 21:37,颜色分类:粉红色尺码:37,穿上又轻又舒服，很喜欢。
2019年10月01日 11:21,颜色分类:粉红色尺码:37,鞋子质量没话说  
2019年09月28日 11:18,颜色分类:粉红色尺码:36,鞋子挺好的
2019年09月20日 15:49,颜色分类:粉红色尺码:40,鞋底很软很舒服，是想买的样子，现在这个天气穿正好。
2019年09月30日 11:09,颜色分类:米白色尺码:38,很喜欢的鞋子，还会关注店铺。
2019年09月24日 13:01,颜色分类:粉红色尺码:38,上次买了一双，穿着很舒服，这双是帮姐姐买的，姐姐也很满意，说款式质量都很好。
2019年09月21日 11:00,颜色分类:粉红色尺码:36,鞋子收到就穿了很不错的，没有色差跟图片一样，穿了一下午特别舒服，一点都不磨脚，老妹说好看她也要，卖家服务态度好，物流也很快的
2019年09月20日 20:21,颜色分类:粉红色尺码:37,鞋子很好，一点都不磨脚，搭配裙子也很好看，穿起来走路都很舒服，满意！
2019年09月23日 14:03,颜色分类:黑色尺码:38,舒适度：鞋子非常舒服，脚一点都不累，同事说买的超值，比实体店便宜！ 
2019年09月28日 15:25,颜色分类:粉红色尺码:40,鞋子很好，非常喜欢。
2019年09月22日 19:03,颜色分类:米白色尺码:34,鞋子很轻，穿起来脚感很好，之前买过一双粉色的，这次帮姐姐买一双白色的
2019年09月25日 21:08,颜色分类:黑色尺码:37,鞋子真是棒棒的，颜色也漂亮，N次回购了，总是不出乎意料的好👍🏻一
2019年09月12日 13:31,颜色分类:粉红色尺码:37,之前朋友穿，看到特别好看分享给我买的，今天收到了穿着确实很轻巧，好看，因为我的脚比较有肉，这个刚好可以遮肉，显瘦
2019年09月12日 13:57,颜色分类:黑色尺码:36,款式特别好看，质量超好，底子很软，穿起来特别舒服，爱了爱了，还会回购的，码数偏小一码，喜欢的不要犹豫了赶紧下单吧，100分！
2019年09月24日 16:51,颜色分类:粉红色尺码:37,回购的一双鞋子非常喜欢：穿在脚上大家都说很好看：上脚效果也好穿：小姐妹觉得很好看也买了一双：说实话她家的鞋子真的是很好穿的：好评
2019年10月04日 15:23,颜色分类:米白色尺码:37,非常棒哦！推荐购买哈
2019年09月26日 12:53,颜色分类:粉红色尺码:36,喜欢 是老客户了 
2019年09月27日 13:38,颜色分类:米白色尺码:37,第二次买鞋子了，很喜欢
2019年09月22日 12:29,颜色分类:米白色尺码:35,鞋子穿上还是挺好看的 这个颜色也喜欢呢 也介绍给朋友啦
2019年09月26日 09:18,颜色分类:粉红色尺码:34,鞋子非常不错，喜欢。物美价廉
2019年09月23日 21:57,颜色分类:米白色尺码:37,鞋子高度正好，穿着舒服，版型不错，满意🤗
2019年09月22日 11:13,颜色分类:粉红色尺码:37,鞋子穿上很舒服，透气，颜色没有差异，很合适，舒服
2019年09月23日 09:48,颜色分类:粉红色尺码:38,鞋子收到了，款式很好看，上脚效果很不错，这时候穿刚正好，，穿上很舒服，好喜欢
2019年09月21日 15:50,颜色分类:米白色尺码:39,鞋子收到了，质量很不错，穿上很合适，很舒服，颜色很漂亮，物流速度特别快，非常满意的一次购物！
2019年09月25日 12:14,颜色分类:粉红色尺码:36,一直买她家的鞋子，很好穿，舒适透气，很好看！
2019年09月23日 13:21,颜色分类:米白色尺码:37,宝贝质量很好，穿上很舒服，物美价廉，没有色差，上脚效果好，很愉快的一次购物！
2019年09月25日 12:41,颜色分类:黑色尺码:38,质量很好，穿起来很舒服，不磨脚，做工也很惊细，超级喜欢，推荐购买
2019年09月21日 18:18,颜色分类:粉红色尺码:40,这双鞋子质量特别好，朋友也很多喜欢的 颜色色差也不大，超级喜欢。
2019年09月21日 23:22,颜色分类:米白色尺码:38,五星好评，鞋子早就收到了，一直忙的没来评价，鞋子质量特别好，这个价钱绝对是赚到了，喜欢
2019年09月27日 09:10,颜色分类:粉红色尺码:38,鞋子很好看，穿着舒服，秋天出去旅游穿着刚好
2019年09月22日 19:49,颜色分类:黑色尺码:38,舒适透气 穿着好看
2019年09月26日 10:52,颜色分类:黑色尺码:36,鞋子非常漂亮 穿着舒服 非常喜欢，嘿嘿
2019年09月24日 14:49,颜色分类:黑色尺码:37,鞋子真心不错，穿起来很舒服。质感手感一流，感觉棒棒的
2019年09月14日 18:58,颜色分类:粉红色尺码:37,一直穿他们家的鞋子，时尚舒适又百搭，同事都说我买的鞋子好看。
2019年09月23日 13:58,颜色分类:粉红色尺码:37,宝贝已收到   大小正合适   颜色也很好看呢   值得购买
2019年09月26日 08:49,颜色分类:黑色尺码:37,一直在这家买鞋，一个字：好！不论款式还是舒适度都杠杠滴
2019年09月23日 09:49,颜色分类:粉红色尺码:38,舒服，质量不错，透气性好，而且显腿长，百搭款
2019年09月26日 08:45,颜色分类:黑色尺码:37,不错！一如既往的好！
2019年09月30日 18:40,颜色分类:米白色尺码:36,物流很快 很合脚
2019年09月23日 20:01,颜色分类:黑色尺码:38,舒适透气，非常百搭。
2019年09月20日 11:23,颜色分类:米白色尺码:36,舒适度：好；满意！ 风格：漂亮；喜欢！赞！ 
2019年09月20日 12:24,颜色分类:黑色尺码:36,舒适透气，大小合适
2019年09月20日 18:48,颜色分类:黑色尺码:36,鞋子收到了，颜色和卖家描述的一样，穿起来很舒服！
2019年09月24日 11:18,颜色分类:黑色尺码:37,鞋底很轻，上脚很舒服，尺码正，没色差
2019年09月23日 21:11,颜色分类:粉红色尺码:40,试了试穿着还不错的，挺舒服的，质量也不赖，真心感觉好😊
2019年09月20日 15:40,颜色分类:粉红色尺码:36,舒适度：不夹脚很舒服 鞋底材质：材质柔软 
2019年09月24日 19:42,颜色分类:米白色尺码:38,满意，舒适度好，大小也合适，很透气！
2019年09月22日 11:50,颜色分类:粉红色尺码:37,鞋子很舒服，大小合适，值得入手的一个宝贝
2019年09月24日 12:37,颜色分类:米白色尺码:36,鞋子质量很好，穿起也舒服，已多次购买这家店的鞋子
2019年09月24日 14:57,颜色分类:黑色尺码:36,鞋子挺舒服的，穿着轻松，颜色也挺正
2019年10月01日 10:53,颜色分类:粉红色尺码:36,很不错，很舒适，值得购买
2019年09月25日 12:18,颜色分类:粉红色尺码:37,鞋子收到了，穿着很舒服，很轻便！很超值！很满意的一次购物！
2019年09月21日 22:52,颜色分类:粉红色尺码:38,舒适度：舒适，高度可以，喜欢的可以下手了  
2019年09月21日 12:46,颜色分类:米白色尺码:39,此用户没有填写评价。
2019年09月26日 08:01,颜色分类:黑色尺码:35,鞋子收到了，他家的鞋子质量非常好，请大家放心购买吧
2019年09月23日 11:23,颜色分类:黑色尺码:38,第二次购买这双鞋子，真的很喜欢，颜色好看，款式超级有新，质量很好，为客服态度大大点赞！
2019年09月25日 11:14,颜色分类:米白色尺码:38,鞋子穿着很舒服。鞋码标准。
2019年09月23日 13:17,颜色分类:粉红色尺码:38,非常喜欢的一款鞋子，大气舒服
2019年09月23日 19:01,颜色分类:粉红色尺码:38,鞋子质量蛮好的，穿着也舒服！推荐购买！
2019年09月25日 17:59,颜色分类:粉红色尺码:36,鞋子穿的很舒服，版型也很好看，已经回购好几次了！物美价廉，很喜欢！
2019年09月08日 21:10,,"评价方未及时做出评价,系统默认好评!"
2019年09月24日 08:20,颜色分类:粉红色尺码:40,很舒服 帮室友买的  她说高度很合适  好评
2019年09月28日 16:00,颜色分类:粉红色尺码:35,非常喜欢！
2019年09月24日 15:56,颜色分类:粉红色尺码:40,好看好看哦！！！！穿着也舒服！开心
2019年09月24日 11:55,颜色分类:粉红色尺码:37,鞋子很好穿，透气性好，穿一天也不臭脚
2019年09月22日 20:31,颜色分类:黑色尺码:38,春夏秋冬都能穿的款式，很透气不闷热
2019年09月25日 12:45,颜色分类:黑色尺码:39,鞋子穿了很长时间了，很舒服，也很透气，质量很好，很满意
2019年09月26日 11:23,颜色分类:粉红色尺码:39,很不错的一款鞋子穿上很舒服，推荐推荐！
2019年09月22日 14:32,颜色分类:米白色尺码:35,舒适度：鞋子很舒服    老客户啦  
2019年09月20日 12:31,颜色分类:黑色尺码:37,鞋子穿了很舒服，已回购给老妈买了一双
2019年09月25日 18:51,颜色分类:米白色尺码:38,上脚效果很好！穿着轻便时尚又舒服
2019年09月23日 19:50,颜色分类:粉红色尺码:37,收到啦 鞋子也太好穿了叭！很漂亮(｡&amp;gt;&forall;&amp;lt;｡)
2019年09月21日 21:36,颜色分类:粉红色尺码:36,宝贝收到了，最喜欢的一个款式，粉粉的，特别温柔和好看，衣服也是百搭
2019年09月22日 10:38,颜色分类:米白色尺码:35,很喜欢这个款式，穿着也舒服
2019年09月24日 19:21,颜色分类:米白色尺码:37,鞋子不错，穿着透气，非常喜欢
2019年09月23日 07:03,颜色分类:米白色尺码:37,质量不错呀，穿着舒服又好看，尤其是物流很快
2019年09月26日 10:36,颜色分类:米白色尺码:38,收到了，挺喜欢的今年最流行的款。然后也蛮百搭的 适合上学的时候穿
2019年09月24日 22:56,颜色分类:粉红色尺码:36,宝贝一如既往的好。穿着舒服开心！
2019年09月23日 13:36,颜色分类:粉红色尺码:36,鞋子很舒适 穿起来也很大方 
2019年09月25日 17:07,颜色分类:黑色尺码:36,鞋子好看，也挺舒服的
2019年09月22日 14:25,颜色分类:粉红色尺码:39,鞋子很合脚，穿着舒服，质量不错
2019年09月23日 15:37,颜色分类:米白色尺码:36,鞋子质量很棒哦 ，一直在他家买 看中的别犹豫啦
2019年09月25日 14:36,颜色分类:粉红色尺码:38,鞋子一如既往的好，以后买鞋就不上别人家了哈哈
2019年09月15日 13:31,颜色分类:米白色尺码:39,鞋帮高度：合适 鞋底材质：鞋底很柔软，非常厚一点儿也不硌脚 舒适度：不夹脚，也不磨脚，很舒服哦！ 风格：是我喜欢的风格，天气凉快了，穿这双鞋子正好百搭。 
2019年09月23日 18:28,颜色分类:米白色尺码:36,这个价格很实惠，质量也不错，很耐穿
2019年09月20日 22:25,颜色分类:粉红色尺码:38,鞋子收到了，很满意很满意太喜欢了，质量很好
2019年09月23日 16:12,颜色分类:粉红色尺码:36,鞋子非常舒服，颜色也很喜欢，物美价廉！
2019年09月20日 15:55,颜色分类:粉红色尺码:40,鞋子很漂亮，穿上很舒服！
2019年09月10日 21:23,颜色分类:米白色尺码:38,鞋子质量很好，跟图片一样，值得买，性价比高
2019年09月10日 20:11,颜色分类:米白色尺码:40,收到鞋子啦，质量很不错呢，鞋帮高度正合适，不会出现卡脚的现象，并且舒适度很高，是我喜欢的风格
2019年09月18日 10:44,颜色分类:粉红色尺码:37,今天刚拿回来，质量很好，做工也特别的精细，颜色和图片一样，没有什么色差，穿着大小也非常合脚，虽然是新鞋子，但是也没有什么刺激的气味，挺好的，鞋子穿着脚感非常好，很棒！好评！
2019年09月26日 20:47,颜色分类:米白色尺码:37,质量一如既往的要好，穿着舒适，很满意
2019年09月23日 14:30,颜色分类:粉红色尺码:39,舒适，百搭。物超所值
2019年09月23日 18:17,颜色分类:粉红色尺码:36,宝贝不错 一直都有回购  物美价廉  值得购买 
2019年09月24日 09:48,颜色分类:粉红色尺码:36,穿着很舒服透气
2019年09月27日 13:18,颜色分类:米白色尺码:37,好看的鞋子🥿
2019年09月20日 19:19,颜色分类:粉红色尺码:35,很好看的粉色，上脚舒服，喜欢呀
2019年09月24日 16:06,颜色分类:米白色尺码:39,好穿，舒适，显高，不累
2019年09月24日 18:17,颜色分类:黑色尺码:37,风格：好看 
2019年09月11日 01:14,颜色分类:粉红色尺码:39,入秋后，天气越来越凉了，抓紧购一双这样的鞋子，这会穿上刚好，今天收到鞋子，太好看了，穿上舒服，好搭配衣服，不卡脚，质量也不错，老公都夸好看，喜欢的抓紧入手吧！
2019年09月25日 11:00,颜色分类:米白色尺码:40,很好看哈哈啊啊哈现在就穿起来～
2019年09月20日 09:14,颜色分类:米白色尺码:39,宝贝不错哦﻿⊙&forall;⊙！是我喜欢的类型，很好啊
2019年09月24日 17:56,颜色分类:米白色尺码:37,穿着舒服，走一天都不会累
2019年09月15日 23:09,颜色分类:黑色尺码:36,运动鞋，还挺舒服，36就是标准的36，还送的有许多小东西，袜子，鞋垫什么的，满意。
2019年09月23日 08:38,颜色分类:米白色尺码:35,码数正好  款式好看  我很喜欢
2019年09月25日 10:42,颜色分类:粉红色尺码:36,宝贝很喜欢，款式新颖。卖家服务态度很好，大赞。
2019年09月26日 01:23,颜色分类:粉红色尺码:37,回购好几双了，舒服百搭。
2019年09月22日 08:47,颜色分类:黑色尺码:39,鞋子不错，穿着显脚小，喜欢
2019年09月23日 11:18,颜色分类:黑色尺码:37,很舒服，穿着逛街杠杠的😜😜
2019年09月25日 12:19,颜色分类:黑色尺码:36,给朋友带来的！她特别喜欢😘
2019年09月08日 09:52,颜色分类:粉红色尺码:35,不错耶，还行，穿着舒服，颜色也很吸睛，自己喜欢最重要了！不错不错哦！
2019年09月21日 08:24,颜色分类:黑色尺码:38,走路逛街好舒服
2019年09月21日 15:41,颜色分类:粉红色尺码:35,鞋子质量特别好  很喜欢
2019年09月23日 06:20,颜色分类:粉红色尺码:39,鞋子不错哦 回购好多次了
2019年09月12日 09:20,颜色分类:米白色尺码:34,鞋帮高度：合适 鞋底材质：材质好，穿起来舒服 舒适度：合脚得很 风格：特别好。是我喜欢的样子 
2019年09月26日 10:38,颜色分类:黑色尺码:37,质量很好！东北现在穿正好！
2019年09月20日 19:16,颜色分类:米白色尺码:39,很漂亮时尚的老爹鞋
2019年09月09日 23:14,颜色分类:粉红色尺码:37,鞋帮高度：是 鞋底材质：特别舒服，不磨脚 风格：是我喜欢的风格，没有色差 第二次购买了，收藏 
2019年09月26日 17:57,颜色分类:黑色尺码:39,此用户没有填写评价。
2019年09月24日 11:56,颜色分类:粉红色尺码:35,鞋底材质：还不错 
2019年09月25日 19:02,颜色分类:黑色尺码:37,鞋底材质：超级好 
2019年09月21日 13:08,颜色分类:米白色尺码:37,很舒服 百搭
2019年09月24日 20:49,颜色分类:米白色尺码:37,穿着很舒服
2019年09月20日 09:58,颜色分类:粉红色尺码:37,宝贝不错，买了很多次了
2019年09月22日 20:44,颜色分类:黑色尺码:39,还不错，妈妈喜欢
2019年09月12日 14:26,颜色分类:粉红色尺码:34,跟图片一样的，非常漂亮
2019年09月25日 17:33,颜色分类:粉红色尺码:35,鞋子特别漂亮
2019年09月26日 00:51,颜色分类:粉红色尺码:35,穿着舒服
2019年09月09日 23:06,颜色分类:粉红色尺码:36,鞋帮高度：刚好 鞋底材质：合脚很舒适 舒适度：不磨脚 风格：是我喜欢的样子 
2019年09月21日 13:04,颜色分类:米白色尺码:37,穿的正合适
2019年09月20日 19:14,颜色分类:粉红色尺码:37,很好看 质量很好 
2019年09月24日 16:35,颜色分类:米白色尺码:36,物流速度快，卖家服务热情，鞋子外观很漂亮。
2019年09月23日 08:52,颜色分类:米白色尺码:37,鞋子很好看
2019年09月22日 15:02,颜色分类:粉红色尺码:35,鞋子很舒服的
2019年09月27日 08:45,颜色分类:黑色尺码:40,非常好  很舒服  下次还来
2019年09月12日 09:38,颜色分类:粉红色尺码:37,挺好的，穿着很舒服，很轻便，尺码也刚刚好
2019年09月22日 11:39,颜色分类:黑色尺码:37,正好穿，质量不错
2019年09月25日 14:14,颜色分类:粉红色尺码:38,买给我妹的，之前有买过，很好穿
2019年09月23日 13:36,颜色分类:粉红色尺码:36,鞋子很轻便，质量很好，喜欢😘
2019年09月25日 15:30,颜色分类:粉红色尺码:40,一如既往的喜欢。5星好评
2019年09月19日 09:27,颜色分类:粉红色尺码:36,鞋帮高度：合适 鞋底材质：柔软 不硌脚 舒适度：不夹脚 风格：还可以 
2019年09月08日 16:54,颜色分类:米白色尺码:36,买的都不知道几双了、太哇塞了。咱先不说价钱、就说这舒适度，买鞋不就是为了穿的舒服啊，这个绝对舒服。这设计颜色了，都是超级洋气的，搭配也好搭配。最后这个价钱也是真实惠、物有所值。
2019年09月23日 18:04,颜色分类:粉红色尺码:40,女盆友很喜欢超级好。
2019年09月08日 19:14,颜色分类:米白色尺码:40,鞋子上脚舒适，镂空设计透气度高，尺码也挺标准的，白色很好搭配，穿上很显高
2019年09月21日 08:11,颜色分类:米白色尺码:38,鞋子很舒服，卖家服务态度一级棒
2019年09月18日 20:07,颜色分类:黑色尺码:37,是这家老顾客了 每次鞋子质量都是那么好 很喜欢
2019年08月05日 12:10,颜色分类:粉红色尺码:37,太舒服了，尺码标准 我平时穿37 这个37很舒服 。我妹妹也试穿了一下 她也要买一双，她平时穿37.5，穿这个37也很舒服，鞋子是带弹力那种的 大点小点都舒服
2019年09月23日 16:38,颜色分类:米白色尺码:34,鞋子质量很好，很喜欢，值得购买
2019年09月12日 13:35,颜色分类:米白色尺码:37,鞋帮高度：是想要的 鞋底材质：软 舒适度：很好 风格：中性风 
2019年09月15日 16:02,颜色分类:粉红色尺码:37,鞋子装起来没有气味网面的特别透气，材质做工都不错！！ 鞋底材质：柔软，舒服 舒适度：不磨脚 
2019年09月08日 23:08,颜色分类:黑色尺码:36,鞋底高度刚刚好，和牛仔裤搭配很好看的。有很长的路也不会累，很舒服。
2019年09月22日 20:36,颜色分类:粉红色尺码:36,老客户了，非常舒服，物超所值
2019年09月24日 17:02,颜色分类:粉红色尺码:37,鞋子很好，好评！
2019年09月22日 10:03,颜色分类:米白色尺码:36,版型很好看，物流也很给力，不错
2019年09月11日 14:37,颜色分类:黑色尺码:37,鞋帮高度：2-3cm的底 黑色的比较百搭，走起路来轻，很满意哦！ 
2019年09月18日 17:55,颜色分类:粉红色尺码:39,鞋帮高度：高度刚刚好 鞋底材质：柔软 舒适度：很舒服，软软的 风格：是嘞啊 
2019年09月22日 13:29,颜色分类:黑色尺码:40,老买，挺好的店
2019年09月23日 12:37,颜色分类:粉红色尺码:37,舒服又好看
2019年09月25日 12:05,颜色分类:黑色尺码:40,第n.次购买
